Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_W_SMD_HandSolder,1,RaspberryPi_Pico_W,
"C1, C4",0402,2,0.1uF,
C2,0805,1,10uF,
"C3, C6",0805,2,4.7uF,
D1,SOD-123_L2.8-W1.8-LS3.7-RD,1,1N5817,
D2,0603,1,LED,
"D3, D4, D5",0805,3,LED,
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Pin,
J3,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,1,Conn_01x05_Socket,
"R1, R3, R5, R6",0402,4,10k,
R2,0603,1,2.7k,
R4,0603,1,270,
"R7, R8, R9",0603,3,220,
SW1,HorizontalSW,1,SW_SPDT,
U1,PQFN50P250X300X86-14N,1,LSM6DSOXTR,
U2,SENSORM-SMD_BMP388,1,BMP388,C779278
U3,DFN-8_L3.0-W2.0-P0.50-BL-EP1.6,1,MCP73831T-2ACI/MC,C411870
